Project Data: GM7159/01-1100 OP2100.01 DryRun|Auto/No Fault|Cycle Complete
Process Data 1: 29, C 
Process Data 2: 29, C 
Process Data 3: 0, C 
Process Data 4: 0, C 
19.6.2024 16:20:54 Start Of Cycling, Cycle Nr.0 , Processed Time: 0h1min , pData[1]: 29 , pData[2]: 29 , pData[3]: 0 , pData[4]: 0
19.6.2024 16:20:54 Error-free-Cycle finished, Cycle Nr.0 , Processed Time: 0h1min , pData[1]: 29 , pData[2]: 29 , pData[3]: 0 , pData[4]: 0
19.6.2024 16:23:57 Cycle Faulted, Cycle Nr.1 , Processed Time: 0h4min , pData[1]: 29 , pData[2]: 29 , pData[3]: 0 , pData[4]: 0
19.6.2024 16:24:40 Error-free-Cycle finished, Cycle Nr.1 , Processed Time: 0h4min , pData[1]: 29 , pData[2]: 29 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:5:5 Start Of Cycling, Cycle Nr.2 , Processed Time: 13h45min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:5:5 Cycle Faulted, Cycle Nr.2 , Processed Time: 13h45min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:5:30 Start Of Cycling, Cycle Nr.2 , Processed Time: 13h45min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:14:44 Cycle Faulted, Cycle Nr.2 , Processed Time: 13h55min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:27:29 Start Of Cycling, Cycle Nr.2 , Processed Time: 14h7min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:27:52 Cycle Faulted, Cycle Nr.2 , Processed Time: 14h8min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:29:12 Start Of Cycling, Cycle Nr.2 , Processed Time: 14h9min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:35:30 Error-free-Cycle finished, Cycle Nr.2 , Processed Time: 14h15min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:36:29 Error-free-Cycle finished, Cycle Nr.3 , Processed Time: 14h16min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:38:32 Error-free-Cycle finished, Cycle Nr.4 , Processed Time: 14h18min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:40:18 Error-free-Cycle finished, Cycle Nr.5 , Processed Time: 14h20min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:42:6 Error-free-Cycle finished, Cycle Nr.6 , Processed Time: 14h22min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:43:48 Error-free-Cycle finished, Cycle Nr.7 , Processed Time: 14h24min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:45:22 Error-free-Cycle finished, Cycle Nr.8 , Processed Time: 14h25min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:46:59 Error-free-Cycle finished, Cycle Nr.9 , Processed Time: 14h27min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:48:45 Error-free-Cycle finished, Cycle Nr.10 , Processed Time: 14h29min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:50:19 Error-free-Cycle finished, Cycle Nr.11 , Processed Time: 14h30min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:51:51 Error-free-Cycle finished, Cycle Nr.12 , Processed Time: 14h32min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:53:23 Error-free-Cycle finished, Cycle Nr.13 , Processed Time: 14h33min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:54:56 Error-free-Cycle finished, Cycle Nr.14 , Processed Time: 14h35min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:56:30 Error-free-Cycle finished, Cycle Nr.15 , Processed Time: 14h36min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:58:2 Error-free-Cycle finished, Cycle Nr.16 , Processed Time: 14h38min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 6:59:34 Error-free-Cycle finished, Cycle Nr.17 , Processed Time: 14h39min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 7:1:6 Error-free-Cycle finished, Cycle Nr.18 , Processed Time: 14h41min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 7:2:39 Error-free-Cycle finished, Cycle Nr.19 , Processed Time: 14h42min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
